Stock_code,Sector,Name,volatility_mean,volatility_max,volatility_5d,downside_deviation,var_95,max_drawdown,mean_return,std_return,return_skew,return_kurtosis,return_consistency,sharpe_ratio,rsi_mean,bb_width_mean,macd_volatility,avg_volume,volume_volatility,amihud_illiquidity,trading_frequency,momentum_20d,momentum_60d,trend_strength,current_price
COOP,Banking,Co-operative Bank of Kenya Ltd,0.012358931876626102,0.03163674492092991,0.010926011031946698,0.0072704415178457445,-0.016245651106371523,-0.2688172043010753,0.00036886700095791386,0.013685212186322264,-1.1690959494883704,13.899745835377644,37.10065807111295,0.019646534911748063,51.16809522191426,2.1066855286860364,0.1683721222705677,532707.2874493927,1050221.136219432,2.128532499232412e-09,1.0,0.18772563176895307,0.23220973782771526,0.1560761346987567,16.45
CRWN,Construction and Allied,Crown Paints Kenya Plc,0.02769228999936434,0.055222401993200505,0.024377263584591195,0.01704026842661931,-0.046256898014053124,-0.5408878504672897,0.0006103056150832672,0.03568517172898551,-0.0007255506986162194,1.615234885075401,58.47097749054635,0.014300214596942702,48.89453382615514,3.7012387254781407,0.7950443234930781,4541.470588235294,16030.008242524063,4.106380888837716e-10,0.6882591093117408,0.013867488443759513,0.08940397350993368,0.029170251036117204,32.9
CTUM,Investment,Centum Investment Company Plc,0.01998962482277004,0.06541696563038094,0.018271192201004604,0.012245999337834703,-0.030729200623754494,-0.5622222222222223,-0.0002770529798367764,0.021773198067554556,-0.49000469582007883,10.74110514155647,78.58854368405528,-0.01731729886143432,48.66588554887748,2.587279411195727,0.19422300947544696,134417.71255060728,360519.58457374584,1.740416466344804e-08,1.0,0.010224948875255713,0.04219409282700415,0.019292272773967827,9.88
DTK,Banking,Diamond Trust Bank Kenya Ltd,0.016985220783436186,0.035396379782204626,0.015241411107800763,0.009856603193672252,-0.025185316074284012,-0.44193548387096776,5.2866502485412246e-05,0.01859686916939758,0.5120497404963577,5.382755782635186,351.7697051655459,-0.002534485607862456,48.75931250330244,2.436331042414083,0.8135439533183952,50471.02803738318,206405.95866655218,7.65678023203104e-09,0.9746963562753036,0.28372093023255807,0.4024390243902438,0.2620027434837458,69.0
EABL,Manufacturing and Allied,East African Breweries Ltd,0.01922296794139648,0.060249948492169844,0.01658089277940837,0.010150077263638849,-0.024784233811703475,-0.4838709677419355,0.00037921607657601347,0.022574894171807233,2.5590919993490595,28.246861384150815,59.530409213126276,0.012368433411655612,47.445261766755905,3.1928406934548184,3.0259998121144367,181076.75126903554,418422.0673928482,1.0333456508134895e-09,0.9969635627530364,0.008620689655172376,0.1340872374798061,-0.005031535681380402,175.5
EGAD,Agricultural,Eaagads Ltd,0.029746032773356457,0.05658933752028995,0.025303946638795264,0.018720129465359402,-0.0488955142187295,-0.3333333333333333,0.0009036364402472375,0.04444516214071947,0.052136944292851026,0.5617584572881658,49.184777464354354,0.018081527881362244,46.21451969813054,3.813545437382176,0.23031471346353113,1927.0707070707072,4618.602863855986,0.0,0.5010121457489879,0.0,-0.0513833992094862,0.009392962287878497,12.0
EQTY,Banking,Equity Group Holdings Plc,0.013751174856299385,0.028132069733462755,0.011444828383033233,0.007981926408640712,-0.019468897391356852,-0.3797235023041475,0.00039979816254085906,0.014778849788541056,0.17084524012790925,7.193840185210989,36.965767921591876,0.02028562200725179,51.748220760761875,2.8333630571985755,0.7505575712281208,1303727.1255060728,1885953.5867139308,2.0716724072708998e-10,1.0,0.08906426155580593,0.10148232611174457,0.03455661859195805,48.3
EVRD,Commercial and Services,Eveready East Africa Ltd,0.04144189502847643,0.06327382874196803,0.03993647481302812,0.023479042916485008,-0.06480783487250882,-0.5196850393700787,0.000775434794407437,0.041972083743115396,0.13741831450321462,-0.17947265672341928,54.1271537376315,0.016092477012389923,48.70799906974778,5.139712438274845,0.03550256384665861,12168.20987654321,32735.507602085603,4.853426519122267e-06,0.9838056680161943,0.04545454545454519,0.06481481481481466,0.04911053671438864,1.15
FAHR,Real Estate Investment Trusts,Stanlib Fahari Income-REIT,0.025945313885206267,0.05278220066513197,0.02415719349382716,0.014200679116460186,-0.03810358974271247,-0.26388888888888895,0.00023022880618958264,0.027312123391599382,0.281560381798855,2.3880625646059834,118.63029644552599,0.004768168473961323,48.24104344161395,2.873130592399172,0.08934032186743798,32331.62393162393,145803.83297895605,1.9669491082651828e-07,0.9971590909090909,-0.07641196013289031,-0.09446254071661242,-0.060757925557845316,5.56
FTGH,Manufacturing and Allied,Flame Tree Group Holdings Ltd,0.034822597728323315,0.06241245603497166,0.03300314804761246,0.021065111538857553,-0.05776559579324846,-0.3776223776223776,0.0006033472936947629,0.03678490768621965,0.08914224372159588,0.8731570950539687,60.96803942577293,0.013683527402597612,49.182181423929435,3.729397572967213,0.01782630659327241,10066.410537870472,22339.566538891413,2.2943962812424754e-06,0.9220647773279352,0.07526881720430101,-0.12280701754385959,-0.009410599305655278,1.0
GLD,Exchange Traded Funds,ABSA NewGold ETF,0.006755547112783461,0.03257266778608031,0.0038514519191259196,0.002628153237509521,-0.0003516984467973082,-0.14355628058727568,0.009350663024490075,0.043911026030903307,0.6173227607004554,0.7426131005772518,4.696033366435488,0.21066834095183504,26.398080277385922,1.1666696174930908,23.967274410543833,12220.754716981131,30626.241629402146,0.0,0.053643724696356275,0.012422360248447228,0.03821656050955413,0.010017556542393623,3260.0
HAFR,Investment,Home Afrika Ltd,0.03922728989701169,0.05620515384861547,0.0385711932257742,0.02291437748728633,-0.06108331104036632,-0.39999999999999997,0.0006373050269537646,0.03918641831581399,0.08027094038791213,-0.010237425228575958,61.487687229380924,0.013711511505142581,49.5773157305765,4.0660720472578324,0.0055157562669407596,75046.59206510682,127527.7732064084,9.855168444539002e-07,0.9949392712550608,0.0,0.19354838709677424,0.07871720114323104,0.37
HFCK,Banking,HF Group Ltd,0.031579419006038764,0.05940609690175885,0.02980444527552456,0.01787243192559458,-0.05063585148033689,-0.4268537074148297,0.0008943248205936055,0.032504419924819575,0.17190427658383606,1.1302398972665255,36.345202036017135,0.024437440200042904,50.557190858320375,4.0599300864375,0.079462472055236,78133.90862944162,344911.74455498485,2.156415605979754e-07,0.9969635627530364,0.13888888888888884,0.06367924528301883,0.0978578383617854,4.51
